country_name,entity_id,country_code,__last_seen,__first_seen
Iraqi,gb-hmt-sanctions.8246,IQ,2018-04-26 12:44:03.870724,2018-04-12 08:16:24.747936
Egyptian,gb-hmt-sanctions.8719,EG,2018-04-26 12:44:04.029042,2018-04-12 08:16:20.597211
Tunisian,gb-hmt-sanctions.11604,TN,2018-04-26 12:44:15.316780,2018-04-12 08:16:40.309204
Tunisian,gb-hmt-sanctions.11619,TN,2018-04-26 12:44:16.431342,2018-04-12 08:16:39.254204
Tunisian,gb-hmt-sanctions.11608,TN,2018-04-26 12:44:17.417534,2018-04-12 08:16:36.649860
Tunisian,gb-hmt-sanctions.11610,TN,2018-04-26 12:44:17.500136,2018-04-12 08:16:38.310725
Tunisian,gb-hmt-sanctions.11586,TN,2018-04-26 12:44:20.631107,2018-04-12 08:16:33.274350
Afghan,gb-hmt-sanctions.10908,,2018-04-26 12:44:24.980408,2018-04-12 08:16:33.132981
Indonesian,gb-hmt-sanctions.8831,ID,2018-04-26 12:44:25.094617,2018-04-12 08:16:22.455659
 United States of America (2,gb-hmt-sanctions.11208,,2018-04-26 12:44:21.997817,2018-04-12 08:16:40.067703
  Yemeni,gb-hmt-sanctions.11208,YE,2018-04-26 12:44:22.014709,2018-04-12 08:16:40.144808
Tunisian,gb-hmt-sanctions.11605,TN,2018-04-26 12:44:23.209913,2018-04-12 08:16:38.310722
Libyan,gb-hmt-sanctions.8645,LY,2018-04-26 12:44:24.973332,2018-04-12 08:16:20.605507
Kuwaiti,gb-hmt-sanctions.9224,KW,2018-04-26 12:44:06.746545,2018-04-12 08:16:24.017034
Somali,gb-hmt-sanctions.8425,SO,2018-04-26 12:44:11.620629,2018-04-12 08:16:32.859445
United States of America. Also believed to hold Syrian nationality,gb-hmt-sanctions.12030,,2018-04-26 12:44:28.231405,2018-04-12 08:16:46.162495
Indonesian,gb-hmt-sanctions.12020,ID,2018-04-26 12:44:28.239755,2018-04-12 08:16:49.697151
Possibly Ethiopian,gb-hmt-sanctions.12029,,2018-04-26 12:44:28.319631,2018-04-12 08:16:47.354612
Afghan,gb-hmt-sanctions.12555,,2018-04-26 12:44:45.188020,2018-04-12 08:17:17.486400
Indonesian,gb-hmt-sanctions.13242,ID,2018-04-26 12:44:49.319256,2018-04-12 08:17:32.041412
Saudi Arabian,gb-hmt-sanctions.11743,SA,2018-04-26 12:44:25.497316,2018-04-12 08:16:46.829824
Iran,gb-hmt-sanctions.12276,IR,2018-04-26 12:44:27.849222,2018-04-12 08:16:58.256417
Guinea-Bissau,gb-hmt-sanctions.12675,GW,2018-04-26 12:44:32.514435,2018-04-12 08:17:12.493042
Guinea-Bissau,gb-hmt-sanctions.12688,GW,2018-04-26 12:44:36.490147,2018-04-12 08:17:13.034947
Afghan,gb-hmt-sanctions.12813,,2018-04-26 12:44:40.111741,2018-04-12 08:17:21.711888
Pakistani,gb-hmt-sanctions.12809,PK,2018-04-26 12:44:40.849567,2018-04-12 08:17:19.555183
Saudi Arabian,gb-hmt-sanctions.13127,SA,2018-04-26 12:44:41.417225,2018-04-12 08:17:38.643331
 German (2,gb-hmt-sanctions.12501,,2018-04-26 12:44:31.824674,2018-04-12 08:17:13.153889
 Moroccan,gb-hmt-sanctions.12501,MA,2018-04-26 12:44:31.841260,2018-04-12 08:17:13.235116
Guinea-Bissau,gb-hmt-sanctions.12664,GW,2018-04-26 12:44:32.847240,2018-04-12 08:17:14.537196
Pakistani,gb-hmt-sanctions.12632,PK,2018-04-26 12:44:33.965061,2018-04-12 08:17:13.635076
Iraqi,gb-hmt-sanctions.12157,IQ,2018-04-26 12:44:33.973434,2018-04-12 08:16:55.688554
Guinea-Bissau,gb-hmt-sanctions.12687,GW,2018-04-26 12:44:34.372823,2018-04-12 08:17:13.276463
North Korean,gb-hmt-sanctions.12441,KP,2018-04-26 12:44:38.977132,2018-04-12 08:17:10.925995
Malian,gb-hmt-sanctions.12886,ML,2018-04-26 12:44:39.224816,2018-04-12 08:17:18.402788
Pakistani,gb-hmt-sanctions.12945,PK,2018-04-26 12:44:44.239020,2018-04-12 08:17:22.164354
Saudi Arabian,gb-hmt-sanctions.13085,SA,2018-04-26 12:44:47.035127,2018-04-12 08:17:27.540994
Kuwaiti,gb-hmt-sanctions.13087,KW,2018-04-26 12:44:49.635558,2018-04-12 08:17:22.123035
Kuwaiti,gb-hmt-sanctions.13088,KW,2018-04-26 12:44:50.511219,2018-04-12 08:17:36.172799
Algerian,gb-hmt-sanctions.13089,DZ,2018-04-26 12:44:54.049696,2018-04-12 08:17:22.732045
Iranian,gb-hmt-sanctions.12236,IR,2018-04-26 12:44:29.219383,2018-04-12 08:16:57.599311
 Saudi Arabian (2,gb-hmt-sanctions.12012,,2018-04-26 12:44:30.529709,2018-04-12 08:16:47.132726
 Yemeni,gb-hmt-sanctions.12012,YE,2018-04-26 12:44:30.546016,2018-04-12 08:16:47.189031
