country_name,entity_id,country_code,__last_seen,__first_seen
Afghanistan,un-sc-sanctions.111302,AF,2018-05-01 01:05:02.269050,2018-04-12 07:32:49.770792
Afghanistan,un-sc-sanctions.111119,AF,2018-05-01 01:05:02.624328,2018-04-12 07:32:49.479304
Afghanistan,un-sc-sanctions.2983128,AF,2018-05-01 01:05:03.036115,2018-04-12 07:32:48.304301
Afghanistan,un-sc-sanctions.111072,AF,2018-05-01 01:05:03.770337,2018-04-12 07:32:56.413815
Afghanistan,un-sc-sanctions.2945562,AF,2018-05-01 01:05:04.146002,2018-04-12 07:32:51.529163
Kuwait,un-sc-sanctions.2797952,KW,2018-05-01 01:05:04.170535,2018-04-12 07:32:53.929960
Afghanistan,un-sc-sanctions.111121,AF,2018-05-01 01:05:04.170538,2018-04-12 07:33:01.045774
Tunisia,un-sc-sanctions.111735,TN,2018-05-01 01:05:04.704362,2018-04-12 07:32:59.694804
Iraq,un-sc-sanctions.6908053,IQ,2018-05-01 01:05:06.040747,2018-04-12 07:32:59.121954
Saudi Arabia,un-sc-sanctions.6908408,SA,2018-05-01 01:05:06.716312,2018-04-12 07:33:02.279441
Qatar,un-sc-sanctions.6908441,QA,2018-05-01 01:05:07.058894,2018-04-12 07:33:00.764147
Syrian Arab Republic,un-sc-sanctions.6908575,SY,2018-05-01 01:05:07.582919,2018-04-12 07:33:00.972376
State of Palestine,un-sc-sanctions.6908575,,2018-05-01 01:05:07.600440,2018-04-12 07:33:01.037172
Qatar,un-sc-sanctions.6908470,QA,2018-05-01 01:05:07.601665,2018-04-12 07:33:01.587152
Tunisia,un-sc-sanctions.112023,TN,2018-05-01 01:05:09.268049,2018-04-12 07:33:05.737670
Somalia,un-sc-sanctions.6908034,SO,2018-05-01 01:05:10.352330,2018-04-12 07:33:06.617698
Georgia,un-sc-sanctions.6908442,GE,2018-05-01 01:05:11.094762,2018-04-12 07:33:07.586786
Russian Federation,un-sc-sanctions.6908489,RU,2018-05-01 01:05:11.870119,2018-04-12 07:33:08.854480
Philippines,un-sc-sanctions.2813036,PH,2018-05-01 01:05:12.220089,2018-04-12 07:33:08.938003
Tunisia,un-sc-sanctions.111806,TN,2018-05-01 01:05:13.271232,2018-04-12 07:33:09.755822
Yemen,un-sc-sanctions.111919,YE,2018-05-01 01:05:13.904956,2018-04-12 07:33:11.531149
Afghanistan,un-sc-sanctions.111118,AF,2018-05-01 01:05:14.205221,2018-04-12 07:33:11.072799
Afghanistan,un-sc-sanctions.110580,AF,2018-05-01 01:05:14.413808,2018-04-12 07:33:11.947829
Iraq,un-sc-sanctions.6908094,IQ,2018-05-01 01:05:14.421805,2018-04-12 07:33:10.205625
Iraq,un-sc-sanctions.6908132,IQ,2018-05-01 01:05:14.981463,2018-04-12 07:33:12.847667
Democratic People's Republic of Korea,un-sc-sanctions.6908621,KP,2018-05-01 01:05:15.515286,2018-04-12 07:33:13.424415
Democratic People's Republic of Korea,un-sc-sanctions.690740,KP,2018-05-01 01:05:15.698583,2018-04-12 07:33:13.448349
Tajikistan,un-sc-sanctions.6908527,TJ,2018-05-01 01:05:16.565785,2018-04-12 07:33:14.506254
Democratic People's Republic of Korea,un-sc-sanctions.6908648,KP,2018-05-01 01:05:17.208084,2018-04-12 07:33:16.465413
Tunisia,un-sc-sanctions.112100,TN,2018-05-01 01:05:17.224907,2018-04-12 07:33:14.698494
Democratic People's Republic of Korea,un-sc-sanctions.6908585,KP,2018-05-01 01:05:17.558061,2018-04-12 07:33:15.498481
Afghanistan,un-sc-sanctions.110554,AF,2018-05-01 01:05:18.792118,2018-04-12 07:33:17.248293
Afghanistan,un-sc-sanctions.111115,AF,2018-05-01 01:05:18.876084,2018-04-12 07:33:18.040431
Kuwait,un-sc-sanctions.2797841,KW,2018-05-01 01:05:19.059635,2018-04-12 07:33:17.983401
Pakistan,un-sc-sanctions.113313,PK,2018-05-01 01:05:20.060472,2018-04-12 07:33:19.549130
Afghanistan,un-sc-sanctions.2975590,AF,2018-05-01 01:05:20.318492,2018-04-12 07:33:19.882926
Afghanistan,un-sc-sanctions.111180,AF,2018-05-01 01:05:20.410327,2018-04-12 07:33:19.324162
Rwanda,un-sc-sanctions.6908663,RW,2018-05-01 01:05:20.489567,2018-04-12 07:33:19.666044
Indonesia,un-sc-sanctions.6908445,ID,2018-05-01 01:05:20.785407,2018-04-12 07:33:20.624371
Afghanistan,un-sc-sanctions.111067,AF,2018-05-01 01:05:20.826992,2018-04-12 07:33:19.724761
Mauritania,un-sc-sanctions.3013119,MR,2018-05-01 01:05:21.052164,2018-04-12 07:33:20.241529
Mali,un-sc-sanctions.3013119,ML,2018-05-01 01:05:21.118847,2018-04-12 07:33:20.258138
Afghanistan,un-sc-sanctions.2981583,AF,2018-05-01 01:05:22.094918,2018-04-12 07:33:20.632810
Democratic People's Republic of Korea ,un-sc-sanctions.6908572,KP,2018-05-01 01:05:01.751452,2018-04-12 07:32:46.935709
Democratic People's Republic of Korea,un-sc-sanctions.6908570,KP,2018-05-01 01:05:02.090126,2018-04-12 07:32:46.095278
Afghanistan,un-sc-sanctions.690726,AF,2018-05-01 01:05:03.312095,2018-04-12 07:32:51.096631
Iran (Islamic Republic of),un-sc-sanctions.110444,IR,2018-05-01 01:05:03.603359,2018-04-12 07:32:58.813082
Afghanistan,un-sc-sanctions.110896,AF,2018-05-01 01:05:03.795218,2018-04-12 07:32:49.738204
Central African Republic,un-sc-sanctions.690728,CF,2018-05-01 01:05:04.271052,2018-04-12 07:32:50.429125
Iraq,un-sc-sanctions.6908395,IQ,2018-05-01 01:05:04.904938,2018-04-12 07:32:59.036359
Iraq,un-sc-sanctions.6908100,IQ,2018-05-01 01:05:05.113396,2018-04-12 07:33:13.656449
